Country of origin,Year,International total
Sweden,2022,81
Switzerland,2017,15
Switzerland,2018,18
Switzerland,2019,25
Switzerland,2020,21
Switzerland,2021,21
Switzerland,2022,26
Syrian Arab Rep.,2017,6457677
Syrian Arab Rep.,2018,6793950
Syrian Arab Rep.,2019,6733699
Syrian Arab Rep.,2020,6809995
Syrian Arab Rep.,2021,6988619
Syrian Arab Rep.,2022,6955985
Tajikistan,2017,4986
Tajikistan,2018,4887
Tajikistan,2019,4648
Tajikistan,2020,4678
Tajikistan,2021,4435
Tajikistan,2022,5452
Thailand,2017,1497
Thailand,2018,2975
Thailand,2019,3704
Thailand,2020,3934
Thailand,2021,3411
Thailand,2022,3180
Timor-Leste,2017,18
Timor-Leste,2018,22
Timor-Leste,2019,58
Timor-Leste,2020,335
Timor-Leste,2021,379
Timor-Leste,2022,399
Togo,2017,11877
Togo,2018,11575
Togo,2019,11414
Togo,2020,11034
Togo,2021,10969
Togo,2022,10283
Tonga,2017,140
Tonga,2018,202
Tonga,2019,451
Tonga,2020,762
Tonga,2021,844
Tonga,2022,1007
Trinidad and Tobago,2017,613
Trinidad and Tobago,2018,628
Trinidad and Tobago,2019,715
Trinidad and Tobago,2020,709
Trinidad and Tobago,2021,793
Trinidad and Tobago,2022,876
Tunisia,2017,4156
Tunisia,2018,4734
Tunisia,2019,4736
Tunisia,2020,4465
Tunisia,2021,6213
Tunisia,2022,9201
Turkmenistan,2017,1480
Turkmenistan,2018,1721
Turkmenistan,2019,1054
Turkmenistan,2020,1083
Turkmenistan,2021,1285
Turkmenistan,2022,2562
Turks and Caicos Islands,2017,19
Turks and Caicos Islands,2018,14
Turks and Caicos Islands,2019,14
Turks and Caicos Islands,2020,19
Turks and Caicos Islands,2021,19
Turks and Caicos Islands,2022,14
Türkiye,2017,95184
Türkiye,2018,111815
Türkiye,2019,130180
Türkiye,2020,138247
Türkiye,2021,151346
Türkiye,2022,153873
Uganda,2017,16565
Uganda,2018,17990
Uganda,2019,18734
Uganda,2020,19184
Uganda,2021,19711
Uganda,2022,19979
Ukraine,2017,177251
Ukraine,2018,125213
Ukraine,2019,87835
Ukraine,2020,56582
Ukraine,2021,46988
Ukraine,2022,5480081
United Arab Emirates,2017,344
United Arab Emirates,2018,441
United Arab Emirates,2019,336
United Arab Emirates,2020,362
United Arab Emirates,2021,375
United Arab Emirates,2022,386
United Kingdom of Great Britain and Northern Ireland,2017,243
United Kingdom of Great Britain and Northern Ireland,2018,268
United Kingdom of Great Britain and Northern Ireland,2019,296
United Kingdom of Great Britain and Northern Ireland,2020,262
United Kingdom of Great Britain and Northern Ireland,2021,378
United Kingdom of Great Britain and Northern Ireland,2022,503
United Rep. of Tanzania,2017,2110
United Rep. of Tanzania,2018,2382
United Rep. of Tanzania,2019,2658
United Rep. of Tanzania,2020,2589
United Rep. of Tanzania,2021,2593
United Rep. of Tanzania,2022,2600
United States of America,2017,2506
United States of America,2018,3166
United States of America,2019,3237
United States of America,2020,2840
United States of America,2021,2088
United States of America,2022,2630
Uruguay,2017,186
Uruguay,2018,210
Uruguay,2019,326
Uruguay,2020,450
Uruguay,2021,693
Uruguay,2022,668
Uzbekistan,2017,6946
Uzbekistan,2018,7882
Uzbekistan,2019,8219
Uzbekistan,2020,8283
Uzbekistan,2021,7960
Uzbekistan,2022,9780
Vanuatu,2017,14
Vanuatu,2018,52
Vanuatu,2019,75
Vanuatu,2020,158
Vanuatu,2021,172
Vanuatu,2022,440
Venezuela (Bolivarian Republic of),2017,157368
Venezuela (Bolivarian Republic of),2018,485270
Venezuela (Bolivarian Republic of),2019,887730
Venezuela (Bolivarian Republic of),2020,1022377
